section,in_resume,title,loc,institution,start,end,description_1,description_2,description_3
education,TRUE,M.S. in Biological Sciences,Boise State University,"Boise, ID, USA",2021,Present,NA,NA,NA
education,TRUE,B.S. in Human Biology,Boise State University,"Boise, ID, USA",2016,2020,Minor in Psychology,"GPA: 3.79, Magna Cum Laude",NA
research_positions,TRUE,Graduate Student Researcher,"Department of Biological Sciences, Boise State University","Boise, ID, USA",2020,Present,Research Assistant in Buerki Lab contributing to Sagebrush genome project.,"Coordinated team of undergraduate researchers in data mining, experimentation, and data gathering.",
research_positions,TRUE,SARE Research Intern,"Department of Biological Sciences, Boise State University","Boise, ID, USA",,2020,"Summer Authentic Research Experience program intern, awarded through National Science Foundation Idaho EPSCoR Program (see awards section)","Conducted research with Buerki Lab, learned applied scientific process, was instructed basics of bioinformatic research",
research_positions,TRUE,Undergraduate Student Research Assistant,"Department of Psychology, Boise State University","Boise, ID, USA",2018,2020,"Assisted in research project directed by Matthew Genuchi, Ph.D.","Contributed to clinical research on Men, Masculinity, and Depression.",NA
research_positions,TRUE,Psychological/Neuropsychological Assessment and Research Intern,Northwest Neurobehavioral Health Clinic,"Meridian, ID, USA",NA,2019,"Gained experience in a professional clinical psychological setting via observation, diagnosis and treatment, selection, administration and interpretation of tests and measures.",,
teaching_positions,TRUE,Teaching Assistant for ZOOL 301: Comparative Vertebrate Anatomy,Boise State University,"Boise, ID, USA",2022,Present,Teaching assistant to comparative anatomy course ,"Aided in dissections with focus on modern and ancient vertebrates, their forms and the functions of their anatomy, and focus on practical skills such as precise dissection and critical thinking",
teaching_positions,TRUE,Lab instructor for BIOL 192: Diversity of Life,Boise State University,"Boise, ID, USA",2021,2022,"Teaching in undergraduate laboratories (Specific teaching assignments will be determined at a later date based on department needs.), and participation in activities associated with teaching. ","Trained and worked in traditional classrooms, hybrid/hyflex, and hyper hybrid formats.",NA
teaching_positions,TRUE,"Learning assistant, PHYS 112: General Physics II",Boise State University,"Boise, ID, USA",2019,2020,Facilitated peer-peer learning for introductory physics course.,Implemented Zoom virtual learning strategies (amid COVID-19 isolation procedures).,
data_science_writings,TRUE,Meta-Analysis Reveals Challenges and Gaps for Genome-to-Phenome,International Journal of Molecular Sciences,NA,NA,2022,"Anthony E. Melton, Stephanie J. Galla, **Carlos Dave C. Dumaguit**, John M. A. Wojahn, Stephen Novak, Marcelo Serpe, Peggy Martinez, Sven Buerki",NA,NA
data_science_writings,TRUE,Research Underpinning Plant Drought Response,"G3 Genes|Genomes|Genetics, 2022",NA,NA,2022,"Anthony E Melton, Andrew W Child, Richard S Beard, Jr, **Carlos Dave C Dumaguit**, Jennifer S Forbey, Matthew Germino, Marie-Anne de Graaff, Andrew Kliskey, Ilia J Leitch, Peggy Martinez, Stephen J Novak, Jaume Pellicer, Bryce A Richardson, Desiree Self, Marcelo Serpe, Sven Buerki",NA,NA
